codigo_comuna,pop_total,pop_chilean,pop_foreign,pct_foreign,median_age_chilean,median_age_foreign,mean_schooling_chilean,mean_schooling_foreign,emp_rate_chilean,emp_rate_foreign,dependency_ratio,census_source_file,eno_total,eno_chilean,eno_foreign,eno_desconocido,eno_top3_diseases,eno_rate_per_10k,eno_source_file,_merge,nombre_comuna,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k,grd_source_file,merge_grd,pct_no_internet,log_pop_total,emp_rate_combined,pct_unemployed,schooling_gap,employment_gap
13104,121587,103271,17686,14.54596297301521,39.0,34.0,11.325066467264872,11.98365271802894,61.003947604521805,75.10392919404586,0.4786029599542751,census_team19.csv,1134,635,188,311,VIH | Parotiditis | Sifilis,93.26654987786524,eno_team19.csv,both,Conchalí,10561,9346,1215,0.1150459236814695,6.366631947732222,6.6164134389043445,4.445267489711934,1.429504781744153,0.0368336331786762,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",868.596149259378,grd_team19.csv,both,29.781326781326783,11.70838533490441,63.06560814828796,36.93439185171204,-0.6585862507640687,-14.099981589524056
13105,155257,143714,10652,6.860882279059881,37.0,31.0,10.971926269356342,12.114082741328875,58.93712654010893,71.02159953298307,0.4970013113236655,census_team12.csv,1212,634,111,467,"VIH, Parotiditis, Coqueluche",78.06411305126339,eno_team12.csv,both,El Bosque,9517,9046,471,4.949038562572239,7.223915099295997,7.369334512491709,4.43099787685775,1.774613848901965,3.4254491961752653,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99), Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",612.9836335881796,grd_team12.csv,both,28.812478833396415,11.952837087346094,59.77101357689226,40.22898642310774,-1.142156471972534,-12.084472992874147
13107,101808,92790,8381,8.28,36.0,35.0,12.77,14.12,63.92,75.8,44.0,census_team13.csv,832,456,68,308,VIH | Parotiditis | Sifilis,81.72245796008173,eno_team13.csv,both,Huechuraba,6170,5743,427,6.92,6.09,6.22,4.27,1.37,3.42,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",606.0,grd_team13.csv,both,21.917851105128044,11.530843965472574,64.90413853772326,35.095861462276744,-1.3499999999999996,-11.879999999999995
13108,116943,64272,51908,44.38743661441899,36.0,33.0,12.854490256989552,12.936710529785609,67.16144308373858,80.3780623734674,39.83546377452797,census_team09.csv,1642,607,786,0,Dato Faltante,156.38095238095238,eno_team09.csv,both,Independencia,10573,0,0,0.0,6.467889908256881,0.0,0.0,0.0,2.8563321668400645,Dato Faltante,1006.952380952381,grd_team09.csv,both,30.252804654955806,11.66944191558223,73.06648934033389,26.933510659666112,-0.08222027279605726,-13.216619289728825
13109,103157,82209,19762,19.15720697577479,37.0,32.0,12.724804060352865,13.401106500691563,67.40233337606915,78.77959361212949,0.4479394756049632,census_team19.csv,714,333,149,232,VIH | Parotiditis | Coqueluche,69.21488604748102,eno_team19.csv,both,La Cisterna,7338,6249,1089,0.1484055600981193,6.360997547015535,6.6426628260521685,4.744719926538108,1.6107931316434996,0.037884982284001,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",711.342904504784,grd_team19.csv,both,23.851134389640468,11.544007378533257,69.60724866360214,30.392751336397865,-0.6763024403386986,-11.377260236060337
13110,374836,335340,36685,9.786946824744687,38.0,34.0,12.846742116528745,13.96530903502031,65.99295673680061,78.78579385361378,46.80625237440616,census_team02.csv,2128,1539,342,247,VIH | Sifilis | Parotiditis,56.77149473369687,eno_team02.csv,both,La Florida,49846,46736,3110,6.239216787706135,6.002897539774099,6.132361800395881,4.133388566694284,1.4035218054774716,2.9992376519680617,H25.9 | K80.2 | Z51.1,1329.8082361352697,grd_team02.csv,both,19.380663521306076,12.834243875961102,67.2544451572839,32.7455548427161,-1.118566918491565,-12.792837116813175
13111,112022,101705,9550,8.525111138883434,39.0,32.0,10.85673384925022,12.150498640072527,59.35718379536063,72.13942914877495,49.86421223026395,census_team01.csv,943,454,108,381,VIH | Parotiditis | Coqueluche,84.17989323525737,eno_team01.csv,both,La Granja,14803,13943,860,5.809633182463014,5.393568871174762,5.440436061105931,4.633720930232558,1.482875092886577,2.526514895629264,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.09  ENFERMEDADES DEL APARATO CIRCULATORIO (I00-I99),1321.4368606166645,grd_team01.csv,both,30.61384109175252,11.626450559559094,60.454396892525764,39.545603107474236,-1.2937647908223067,-12.782245353414318
13112,175421,166483,7732,4.44,34.0,32.0,10.01,11.47,55.71,67.68,49.0,census_team13.csv,1507,755,102,650,VIH | Parotiditis | Coqueluche,85.90761653393837,eno_team13.csv,both,La Pintana,25556,24778,778,3.04,5.37,5.42,3.86,1.47,1.953,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1456.8,grd_team13.csv,both,30.94072260553454,12.074944078093388,56.24125184398588,43.75874815601412,-1.4600000000000009,-11.970000000000006
13115,112620,98589,12198,10.831113478955782,34.0,42.0,14.86880298182538,15.031678750697155,63.15209016331526,73.11209287989314,45.969696576931554,census_team20.csv,630,278,42,310,Parotiditis | Coqueluche | VIH,55.94,eno_team20.csv,both,Lo Barnechea,6883,6204,679,9.86,5.166742081447964,5.2396094141211815,4.483568075117371,1.4259770448932152,1.7724829289553898,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",611.1703072278458,grd_team20.csv,both,15.539852501002871,11.63177459880861,64.24871804507771,35.75128195492229,-0.1628757688717748,-9.960002716577883
13116,87295,80266,6512,7.459762873016783,38.0,32.0,10.356598016781083,11.212395235994707,56.82800098970328,68.39474171449731,0.4976239084561409,census_team12.csv,678,366,72,240,"VIH, Parotiditis, Coqueluche",77.66767856120052,eno_team12.csv,both,Lo Espejo,5269,4949,320,6.073258682862023,6.763142911368381,6.819357445948676,5.89375,1.626684380337825,2.770924274055798,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99)",603.5855432728106,grd_team12.csv,both,34.94552899027564,11.377048466418875,57.69599305681543,42.30400694318457,-0.8557972192136241,-11.566740724794037
13118,123800,105336,17497,14.133279483037157,39.0,35.0,13.33633394303632,14.598976488911964,69.14035980991174,81.18907043800631,44.13281641111615,census_team01.csv,890,405,110,375,VIH | Parotiditis | Coqueluche,71.89014539579968,eno_team01.csv,both,Macul,13343,12128,1215,9.105898223787753,5.520947313197931,5.670679419525066,4.026337448559671,1.5699617777111594,3.440005995653152,Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),1077.7867528271406,grd_team01.csv,both,19.19555471364526,11.726422639232633,70.85664362500843,29.14335637499157,-1.262642545875643,-12.048710628094568
13119,500600,469627,30973,6.19,38.0,34.0,12.64,12.98,62.55,73.51,43.27,census_team08.csv,3316,1827,267,1222,VIH | Parotiditis | Coqueluche,66.24,eno_team08.csv,both,maipu,62614,58932,3682,5.88,7.02,7.16,4.68,1.64,3.49,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.09  ENFERMEDADES DEL APARATO CIRCULATORIO (I00-I99)",1250.78,grd_team08.csv,both,18.45987335035549,13.12356265797981,63.22811442269276,36.77188557730724,-0.33999999999999986,-10.960000000000008
13122,236478,216664,18304,7.74025490743325,38.0,34.0,12.222863898249807,12.847695541210028,64.7195868375159,77.56749602964531,43.49306132851135,census_team16.csv,1487,701,124,662,VIH | Parotiditis | Coqueluche,62.88,eno_team16.csv,both,Peñalolén,44917,42047,2870,6.39,5.34,5.43,4.14,1.56,2.91,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1899.42,grd_team16.csv,both,26.50795738524267,12.37361045933138,65.72043856989112,34.279561430108885,-0.6248316429602205,-12.847909192129407
